18C05000|0000A09C|00001276|\snd\adx\mev\s001300_05_2wil.adx
18C0F800|000077E6|00001285|\snd\adx\mev\s001300_06_1kev.adx
18C17000|00014D3A|0000128F|\snd\adx\mev\s001300_06_2kev.adx
18C2C000|0000AC36|00001299|\snd\adx\mev\s001300_06_3kev.adx
18C37000|00009D06|000012AB|\snd\adx\mev\s001300_07kev.adx
18C41000|00012100|000012BF|\snd\adx\mev\s001300_08_1wil.adx
18C53800|000160B4|000012C9|\snd\adx\mev\s001300_08_2wil.adx
18C6A000|00008314|000012D3|\snd\adx\mev\s001300_08_3wil.adx
18C72800|00016E46|000012DF|\snd\adx\mev\s001300_09_1wil.adx
18C89800|0000D83A|000012E9|\snd\adx\mev\s001300_09_2wil.adx
18C97800|000073D2|000012F3|\snd\adx\mev\s001300_09_3wil.adx
18C9F000|0000BF44|00001306|\snd\adx\mev\s001300_10kev.adx
18CAB000|0000B70A|00001313|\snd\adx\mev\s001300_11wil.adx
18CB6800|000025C6|00001320|\snd\adx\mev\s001300_12kev.adx
18CB9000|00004132|00001334|\snd\adx\mev\s010010_01jul.adx
18CBD800|0000F664|00001348|\snd\adx\mev\s010010_02_1hel.adx
18CCD000|0001205E|00001352|\snd\adx\mev\s010010_02_2hel.adx
18CDF800|00015940|00001360|\snd\adx\mev\s010010_03_1jul.adx
18CF5800|0000CDF6|0000136A|\snd\adx\mev\s010010_03_2jul.adx
18D02800|00010A92|00001378|\snd\adx\mev\s010010_04_1hel.adx
18D13800|0000F0A0|00001382|\snd\adx\mev\s010010_04_2hel.adx
18D23000|0000BD5E|0000138C|\snd\adx\mev\s010010_04_3hel.adx
18D2F000|000131AA|0000139A|\snd\adx\mev\s010010_05_1jul.adx
18D42800|000142E4|000013A4|\snd\adx\mev\s010010_05_2jul.adx
18D57000|00005F26|000013AE|\snd\adx\mev\s010010_05_3jul.adx
18D5D000|00008698|000013BC|\snd\adx\mev\s010010_06_1hel.adx
18D65800|0000CC22|000013C6|\snd\adx\mev\s010010_06_2hel.adx
18D72800|00009EEC|000013D4|\snd\adx\mev\s010010_07_1jul.adx
18D7C800|00014014|000013DE|\snd\adx\mev\s010010_07_2jul.adx
18D91000|00009B0E|000013E8|\snd\adx\mev\s010010_07_3jul.adx
18D9B000|0000D630|000013F2|\snd\adx\mev\s010010_07_4jul.adx
18DA8800|0000AF72|000013FC|\snd\adx\mev\s010010_07_5jul.adx
18DB3800|0000FD12|0000140A|\snd\adx\mev\s010010_08_1hel.adx
18DC3800|000058F6|00001414|\snd\adx\mev\s010010_08_2hel.adx
18DC9800|0000D156|00001422|\snd\adx\mev\s010010_09_1jul.adx
18DD7000|000077E6|0000142C|\snd\adx\mev\s010010_09_2jul.adx
18DDE800|00005842|0000143F|\snd\adx\mev\s010010_10hel.adx
18DE4800|000065D4|0000144B|\snd\adx\mev\s010010_11jul.adx
18DEB000|0000D1C2|0000145F|\snd\adx\mev\s010010_12_1hel.adx
